Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,3,2025,45,M,true,JMC,AUGUST,2025,Lecture 5
1,US,3,2025,45,M,true,PYC,OCTOBER,2025,Lecture 5
2,GB,1,2015,45,U,false,JMC,OCTOBER,2021,Lecture 11
2,GB,1,2015,45,U,false,PYC,APRIL,2016,Lecture 13
3,IN,3,2021,48,F,false,JMC,JULY,2021,Lecture 3
3,IN,3,2021,48,F,false,PYC,DECEMBER,2022,Lecture 13
4,IN,9,2025,51,M,true,JMC,FEBRUARY,2025,Lecture 1
4,IN,9,2025,51,M,true,PYC,JULY,2025,Lecture 10
5,GB,8,2016,35,M,false,JMC,MAY,2023,Lecture 12
5,GB,8,2016,35,M,false,PYC,MARCH,2020,Lecture 4
6,AU,1,2019,76,F,false,JMC,APRIL,2021,Lecture 1
6,AU,1,2019,76,F,false,PYC,JANUARY,2022,Lecture 5
7,CN,4,2024,20,F,true,JMC,JUNE,2025,Lecture 9
7,CN,4,2024,20,F,true,PYC,DECEMBER,2025,Lecture 13
8,GB,10,2022,68,M,true,JMC,JANUARY,2025,Lecture 10
8,GB,10,2022,68,M,true,PYC,AUGUST,2024,Lecture 11
9,AU,1,2015,40,U,false,JMC,MAY,2020,Lecture 4
9,AU,1,2015,40,U,false,PYC,DECEMBER,2023,Lecture 6
10,IN,10,2024,83,M,false,JMC,NOVEMBER,2024,Lecture 2
10,IN,10,2024,83,M,false,PYC,AUGUST,2025,Lecture 2
11,GB,4,2015,29,M,false,JMC,AUGUST,2022,Lecture 3
11,GB,4,2015,29,M,false,PYC,OCTOBER,2024,Lecture 6
12,US,3,2022,66,U,true,JMC,JUNE,2024,Lecture 9
12,US,3,2022,66,U,true,PYC,MAY,2023,Lecture 13
13,AU,9,2018,39,U,true,JMC,JANUARY,2021,Lecture 3
13,AU,9,2018,39,U,true,PYC,NOVEMBER,2025,Lecture 10
14,GB,9,2024,78,M,false,JMC,NOVEMBER,2024,Lecture 8
14,GB,9,2024,78,M,false,PYC,MARCH,2025,Lecture 8
15,AU,10,2016,37,U,false,JMC,JULY,2025,Lecture 12
15,AU,10,2016,37,U,false,PYC,APRIL,2020,Lecture 8
16,IN,5,2023,63,M,true,JMC,SEPTEMBER,2023,Lecture 9
16,IN,5,2023,63,M,true,PYC,NOVEMBER,2024,Lecture 6
17,IN,5,2015,49,F,false,JMC,SEPTEMBER,2024,Lecture 3
17,IN,5,2015,49,F,false,PYC,AUGUST,2019,Lecture 4
18,GB,2,2017,38,F,false,JMC,APRIL,2020,Lecture 3
18,GB,2,2017,38,F,false,PYC,JUNE,2019,Lecture 3
19,US,8,2017,25,M,true,JMC,APRIL,2017,Lecture 8
19,US,8,2017,25,M,true,PYC,AUGUST,2018,Lecture 10
20,US,8,2022,85,U,false,JMC,APRIL,2025,Lecture 11
20,US,8,2022,85,U,false,PYC,MAY,2024,Lecture 2
21,GB,4,2018,48,F,true,JMC,JANUARY,2021,Lecture 2
21,GB,4,2018,48,F,true,PYC,DECEMBER,2021,Lecture 7
22,US,11,2017,83,M,false,JMC,DECEMBER,2020,Lecture 8
22,US,11,2017,83,M,false,PYC,JANUARY,2024,Lecture 5
23,CN,2,2019,69,U,false,JMC,SEPTEMBER,2019,Lecture 12
23,CN,2,2019,69,U,false,PYC,MARCH,2020,Lecture 14
24,CN,7,2022,76,U,true,JMC,OCTOBER,2024,Lecture 6
24,CN,7,2022,76,U,true,PYC,NOVEMBER,2022,Lecture 12
25,IN,12,2023,89,F,true,JMC,DECEMBER,2025,Lecture 4
25,IN,12,2023,89,F,true,PYC,JANUARY,2023,Lecture 4
